key,english,polish
create_new_profile,Create new profile,Stwórz nowy profil
generating,Generating,Generowanie
loading,Loading,Ładowanie
no_text_to_gen,No text to generate,Brak tekstu do wygenerowania
select_profile,Select profile,Wybierz profil
creating_profile,Creating profile,Tworzenie profilu
profile_created,Profile created,Profil utworzony
new_profile,New profile,Nowy profil
exit,Exit,Wyjście
generate,Generate,Generuj
play,Play,Odtwórz
stop,Stop,Stop
resume,Resume,Wznów
drag_recording_here,Drag a recording here,Przeciągnij nagranie tutaj
cancel,Cancel,Anuluj
add,Add,Dodaj
no_profile_selected,No profile selected,Nie wybrano profilu
